symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,score_v0,rank_v0,trials,n_trials,rate_syn,rate_mis,oe_syn,qc_syn_excess,tolerance,burden_v1,score_v1,rank_v1
SCN4A,ENSG00000007314,0.6149036175848166,0.51230606631626,3.9899555240853735e-10,2.29069938031806,83.0,162.01252621662678,2196,2462.533304883427,944,985.1142311453996,9659.0,33.0,3.0,0.0,0.5603,0.087,45,BUPIVACAINE HYDROCHLORIDE (NCT04826484),1,0.003045332109873063,0.0012182576349528869,0.9582645039067238,False,0.3074518087924083,0.043299533364367745,0.0133,71
NR3C1,ENSG00000113580,0.2956078119028543,0.1890897142243455,0.999999995005652,3.036958423110445,14.0,74.0389293908906,695,909.7831012210112,308,332.5209619195749,2566.0,8.0,2.0,0.0,0.0511,0.033,86,BUDESONIDE (NCT04193878); DEXAMETHASONE (NCT01975727); METHYLPREDNISOLONE (NCT03584516); PREDNISONE (NCT00430677); PREDNISONE (NCT00676650); PREDNISONE (NCT02626455); PREDNISONE (NCT03584516); PREDNIS,8,0.0060146584096666044,0.0021983261695186678,0.9262573950886571,False,0.14780390595142714,0.08551839112729469,0.0126,72
TLR7,ENSG00000196664,0.5075745618805718,0.3132762259561651,0.9767340139235904,3.744175294421858,12.0,38.30485369061835,504,743.3577144705697,285,293.7714239675943,1268.0,4.0,1.0,0.0,0.1967,0.036,81,HYDROXYCHLOROQUINE SULFATE (NCT04329923),1,0.003404007055874534,0.0013452473560622354,0.9701420109242421,False,0.2537872809402859,0.0483992916931895,0.0123,73
KDR,ENSG00000128052,0.3446456733708776,0.2672683651236378,0.9999999999978642,2.062119490739699,43.0,160.88697957241698,1469,1666.3751857034713,617,600.1147982264924,6558.0,20.0,3.0,0.0,0.3599,0.049,70,AXITINIB (NCT01599754); CABOZANTINIB (NCT04338269); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),4,0.004999043531114116,0.0018003148545047076,1.0281366195658033,False,0.1723228366854388,0.07107804480951171,0.0122,74
PTK2,ENSG00000169398,0.3844846007951492,0.2998845405564014,0.9999999944781984,4.580599738930777,45.0,150.05775194849207,919,1307.3366625484064,432,449.2193371048237,9674.0,28.0,2.0,0.0,0.1874,0.043,75,DEFACTINIB (NCT01870609),1,0.004452168094298459,0.0015298278226982306,0.9616683083684672,False,0.1922423003975746,0.06330239001449503,0.0122,75
GAS6,ENSG00000183087,0.7014664502008777,0.5406300604921149,2.0170419169519044e-06,1.1993758650259354,41.0,75.8374404166118,854,940.2313111838214,432,412.57065508291856,4908.0,12.0,1.0,0.0,0.0118,0.049,68,BATIRAXCEPT (NCT04729608),1,0.0024238272588704103,0.0010635680689477628,1.0470933758320173,False,0.35073322510043886,0.03446277301732386,0.0121,76
S1PR1,ENSG00000170989,0.3432056922553397,0.1090269830519924,0.9976324496625056,3.047339854837878,2.0,18.344082758359427,335,493.7731044292755,222,211.19689474371555,805.0,3.0,1.0,0.0,0.0182,0.024,95,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2,0.004734918101961139,0.002025221687916444,1.0511518186353728,False,0.17160284612766985,0.06732262260287954,0.0116,77
DRD2,ENSG00000149295,0.3797579045083011,0.2104701739224082,0.9997961472204036,3.5420917761605444,8.0,38.010136310094346,403,607.744734483584,230,238.5620550227497,1913.0,6.0,1.0,0.0,0.0232,0.027,93,BIFEPRUNOX (NCT00658645); BIFEPRUNOX (NCT00704509); HALOPERIDOL (NCT03628391); MOLINDONE (NCT02691182); QUETIAPINE (NCT00658645); QUETIAPINE (NCT00704509),6,0.004191781462918058,0.001645427666024495,0.9641097364711534,False,0.18987895225415055,0.05960012726405862,0.0113,78
TOP2A,ENSG00000131747,0.4445183060071672,0.363274831092774,0.9999106616798769,6.143970109165111,68.0,187.1861031369773,1196,1808.6606184070656,542,593.2097032656113,6770.0,13.0,2.0,0.0,0.0499,0.05,67,DOXORUBICIN (NCT02626455); DOXORUBICIN HYDROCHLORIDE (NCT00005047),2,0.0033714890181162365,0.0011057906495257534,0.9136735239095001,False,0.2222591530035836,0.04793693953911923,0.0107,79
SLC6A2,ENSG00000103546,0.5034980895685791,0.3628653308670153,0.9608751083583686,3.353147732117959,26.0,71.65192645402823,581,803.9214300144773,363,337.88665978493844,3499.0,11.0,1.0,0.0,0.0166,0.036,83,BICIFADINE (NCT00597649); EDIVOXETINE (NCT00965419); LISDEXAMFETAMINE DIMESYLATE (NCT01436175); VENLAFAXINE (NCT00354432),4,0.0029595723034359814,0.0012439026534993495,1.0743247461472611,False,0.25174904478428956,0.04208017223521362,0.0106,80
MDM2,ENSG00000135679,0.2829601733806156,0.1709493050119289,0.9999999841351008,3.3578042845001237,11.0,64.34656168524589,388,577.1425581496339,194,192.89591668112163,3015.0,8.0,1.0,1.0,0.4702,0.02,96,IDASANUTLIN (NCT02545283),1,0.005184142916063439,0.0017326741649516914,1.0057237257163072,False,0.1414800866903078,0.07370984873275317,0.0104,81
RET,ENSG00000165731,0.2356662003104965,0.1606090361074428,0.9999999999999992,3.1149695097258885,19.0,118.29969508869692,1219,1502.0681080633994,597,644.1174179378845,6544.0,25.0,4.0,0.0,0.4598,0.039,79,MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),2,0.006210047871094428,0.0026629950922512813,0.9268496447608434,False,0.11783310015524825,0.08829650274169347,0.0104,82
SLC6A4,ENSG00000108576,0.427963840399885,0.2997059166408055,0.9998745655239176,3.2328323116597293,22.0,73.40529091511655,593,808.5390748124873,270,315.50107357640746,3099.0,1.0,1.0,0.0,0.0174,0.03,89,BICIFADINE (NCT00597649); VENLAFAXINE (NCT00354432),2,0.0031695613224524315,0.0012367986052274783,0.8557815570621565,False,0.2139819201999425,0.04506586516032208,0.0096,83
ITGA4,ENSG00000115232,0.5815285484106696,0.4714953104273438,1.270774592241386e-05,2.1297046419179813,63.0,133.61744773855634,1076,1252.7432088882194,483,438.034974597773,7810.0,24.0,1.0,0.0,0.3009,0.041,77,NATALIZUMAB (NCT01416181),1,0.00228292272989903,0.0007982481907744499,1.1026516785412313,False,0.2907642742053348,0.03245934608940134,0.0094,84
HMGCR,ENSG00000113161,0.433003626760854,0.3223667998670253,0.9999335526421148,5.011752898284163,32.0,99.26580532858792,708,1097.2567043267072,343,361.3073682900385,3794.0,8.0,1.0,0.0,0.0179,0.031,88,ATORVASTATIN (NCT00741715); ATORVASTATIN (NCT02260648); ROSUVASTATIN (NCT00979121); SIMVASTATIN (NCT00120289); SIMVASTATIN (NCT01057758); SIMVASTATIN (NCT01061671),6,0.00276772656127304,0.0009113637638820485,0.9493302105166527,False,0.216501813380427,0.03935244638663863,0.0085,85
PTK2B,ENSG00000120899,0.6051744812854586,0.4967211566736806,7.263402388135249e-08,2.52843824850563,71.0,142.9373382753721,1105,1320.427942749446,519,503.37651313359737,6219.0,24.0,1.0,0.0,0.4445,0.043,76,DEFACTINIB (NCT01870609),1,0.0019865845424031484,0.0007573302318320843,1.0310373775072341,False,0.3025872406427293,0.028245912291814966,0.0085,86
PDGFRA,ENSG00000134853,0.2874198450211174,0.2057933218894758,0.9999999999998104,3.9195446163465704,25.0,121.48110429660392,1008,1345.052506430127,463,494.8085017090556,5717.0,18.0,2.0,0.0,0.1371,0.032,87,MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),2,0.004041967737199447,0.0014869308004251476,0.9357155311616719,False,0.1437099225105587,0.057470026447086105,0.0083,87
NISCH,ENSG00000010322,0.4975876543556854,0.397487727751637,0.7136005570728154,3.4522254475622565,55.0,138.36905182231374,1643,2005.4952297090852,860,861.5108183008833,7695.0,29.0,2.0,0.0,0.217,0.056,61,MOXONIDINE (NCT00244504),1,0.002321503058945336,0.0009972599138468744,0.9982463153464943,False,0.2487938271778427,0.033007893894526755,0.0082,88
BTK,ENSG00000010671,0.1831070994295915,0.0870857468937627,0.9999999996796236,5.851790366076608,5.0,57.414676664593294,194,501.164722149477,154,174.2812767912815,2335.0,12.0,1.0,0.0,0.2344,0.013,103,EVOBRUTINIB (NCT02975349); FENEBRUTINIB (NCT03407482); RILZABRUTINIB (NCT03762265),3,0.005737851009650312,0.0019953519388017514,0.883629055486148,False,0.09155354971479575,0.08158265248859202,0.0075,89
PARP1,ENSG00000143799,0.4768056265702842,0.3708409117351495,0.989734225683642,2.0614168395986723,44.0,118.64926066038882,1100,1272.4139322413948,492,483.1716617599211,5580.0,20.0,1.0,0.0,0.1681,0.034,84,NIRAPARIB (NCT01905592),1,0.002069657803103695,0.0007859077731398856,1.0182716391270181,False,0.2384028132851421,0.029427075230244057,0.007,90
GRIA1,ENSG00000155511,0.4219577002549077,0.312653670673863,0.9999793704168496,4.706645849453688,31.0,99.15124275747552,782,1157.452952887066,438,432.43408560759264,4980.0,21.0,1.0,1.0,0.036,0.03,90,PERAMPANEL (NCT00360412),1,0.0023124911594213193,0.0008639660018194892,1.0128711278265379,False,0.21097885012745385,0.032879759743623664,0.0069,91
EGFR,ENSG00000146648,0.504692914125459,0.4055620976439725,0.3890693445792946,2.919355815974126,58.0,143.0113916880763,1307,1579.0010426019326,613,594.4427707156876,6551.0,25.0,1.0,0.0,0.268,0.036,82,CETUXIMAB (NCT00946712); ERLOTINIB (NCT01244191); SAPITINIB (NCT01151215),3,0.0016822477272219764,0.0006333118047548375,1.0312178567870716,False,0.2523464570627295,0.02391875137553255,0.006,92
BCR,ENSG00000186716,0.5209051001376047,0.4185899171010249,0.0646305456569479,1.315409697502577,58.0,138.5604326107118,1599,1727.1805829390516,786,730.1263508648331,7993.0,27.0,1.0,0.0,0.1642,0.037,80,IMATINIB MESYLATE (NCT00124748),1,0.0013696259542139552,0.0005789782550116172,1.0765260000121688,False,0.26045255006880236,0.019473792204444694,0.0051,93
NCBP1,ENSG00000136937,0.2176152002211944,0.1432787492521253,0.9999999999999996,4.831084757912107,16.0,111.6704332185721,607,957.518133304496,304,314.30271060645714,4440.0,9.0,1.0,0.0,0.0163,0.015,101,OBEFAZIMOD (NCT04393038),1,0.0031816461209337584,0.0010443666445761133,0.9672204207638625,False,0.1088076001105972,0.04523769079909147,0.0049,94
MYH7,ENSG00000092054,0.662470606603184,0.5723756058809424,6.6431963814459954e-21,7.378650026979123,129.0,225.37648123814836,1649,2516.978564676292,971,1007.6424564336768,8212.0,29.0,1.0,0.0,0.0115,0.047,71,MAVACAMTEN (NCT05582395),1,0.0009924155077181587,0.00039730175458550625,0.9636354579943321,False,0.331235303301592,0.014110490034385612,0.0047,95
PIK3CA,ENSG00000121879,0.2694577141767922,0.195394709493107,0.9999999999999996,8.751433431539786,27.0,138.18183752284494,544,1277.3859621514866,358,413.1600458912368,4715.0,25.0,1.0,0.0,0.0661,0.019,97,COPANLISIB (NCT02626455),1,0.0024203695636708473,0.0007828487470738377,0.8664923037941633,False,0.1347288570883961,0.034413610369948916,0.0046,96
KIT,ENSG00000157404,0.2299249950490441,0.1513835691575907,0.999999999999992,4.355090101388107,16.0,105.69178735206032,858,1213.7588175870376,438,441.0489921043307,4299.0,14.0,1.0,0.0,0.0953,0.016,100,IMATINIB MESYLATE (NCT00124748); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3,0.0022673218120934937,0.0008238869085935937,0.9930869536969502,False,0.11496249752452205,0.032237527109840604,0.0037,97
DNMT1,ENSG00000130816,0.1643998803545484,0.1168982574778145,1.0,8.085103749234499,24.0,205.3067386787594,1293,2177.6512391202295,817,839.8189152543484,9319.0,35.0,2.0,0.0,0.1031,0.018,98,AZACITIDINE (NCT02147873); AZACITIDINE (NCT04313881); AZACITIDINE (NCT05079230),3,0.0023814657703848906,0.0009184207113017782,0.9728287672022278,False,0.0821999401772742,0.03386046344389625,0.0028,98
PIK3CD,ENSG00000171608,0.2364994392500996,0.162754996855936,0.9999999999999998,7.043594238095516,20.0,122.88409195634816,787,1406.3449267966068,596,593.4254883890492,4922.0,12.0,1.0,0.0,0.0262,0.017,99,COPANLISIB (NCT02626455); PARSACLISIB (NCT04551053); PARSACLISIB (NCT04551066),3,0.0016851315279946333,0.0007110631118624751,1.0043383906848016,False,0.1182497196250498,0.02395975420322646,0.0028,99
ABL1,ENSG00000097007,0.1923020724661369,0.1161785605644944,0.9999999999999958,4.50226630176298,11.0,94.68184100881112,1082,1489.4088663751456,656,622.4180482957618,4022.0,7.0,1.0,0.0,0.0185,0.014,102,IMATINIB MESYLATE (NCT00124748),1,0.0016066372155147052,0.0006714073096890806,1.0539540133776466,False,0.09615103623306845,0.02284369625633822,0.0022,100
ADORA1,ENSG00000163485,0.5949641088648107,0.3014410899587946,0.8711033748616624,2.7918617525723395,6.0,19.904386627649757,302,439.18625797230027,194,188.38575162054025,1139.0,2.0,0.0,0.0,0.0,0.0,126,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2,0.0,0.0,1.0298018737147827,False,0.29748205443240533,0.0,0.0,101
ADORA2A,ENSG00000128271,0.9884881177301968,0.5971913104224269,0.0066122314067058,1.9362692206032976,11.0,18.41955803445814,449,556.057725116107,218,237.31141651525627,1212.0,1.0,0.0,0.0,0.0,0.0,127,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2,0.0,0.0,0.9186241572410202,False,0.4942440588650984,0.0,0.0,102
ADRA1B,ENSG00000170214,1.4220573096188576,0.9480668312324808,2.308395789691096e-06,0.6522801500204366,17.0,17.931225352436506,681,722.0983774649414,366,327.59961878358416,2908.0,3.0,0.0,0.0,0.0,0.0,128,TAMSULOSIN (NCT02518971),1,0.0,0.0,1.117217417282111,False,0.7110286548094288,0.0,0.0,103
ALOX5,ENSG00000012779,0.8965421924674865,0.7281102506874599,4.571893566164595e-16,1.210485551883987,64.0,87.8987762355675,822,907.501888764436,388,355.14776980135167,4284.0,14.0,0.0,0.0,0.0,0.0,131,MESALAMINE (NCT01038739),1,0.0,0.0,1.0925029888742477,False,0.4482710962337432,0.0,0.0,104
APP,ENSG00000142192,0.4127209613298042,0.3058096189401342,0.9999931827833108,2.2177737548963834,31.0,101.37025809534332,839,1003.7487292920924,366,364.3918964198864,4295.0,8.0,0.0,0.0,0.0,0.0,135,ADUCANUMAB (NCT02477800); ADUCANUMAB (NCT02484547); BAPINEUZUMAB (NCT00996918); BAPINEUZUMAB (NCT00998764); SOLANEZUMAB (NCT01127633); SOLANEZUMAB (NCT01900665),6,0.0,0.0,1.0044131156480511,False,0.2063604806649021,0.0,0.0,105
BACE1,ENSG00000186318,0.5597184991583963,0.3886877043816062,0.6320809032286518,2.4915515573989735,21.0,54.027950365475405,511,661.2229036538608,232,260.8989076869055,2649.0,4.0,0.0,0.0,0.0,0.0,138,ELENBECESTAT (NCT02956486); LANABECESTAT (NCT02245737); LANABECESTAT (NCT02783573),3,0.0,0.0,0.8892333128447363,False,0.27985924957919817,0.0,0.0,106
CALCB,ENSG00000175868,1.3444366956546108,0.7451163538740992,0.005055487885633,-0.4531587084853007,8.0,10.736578198029653,176,162.4570899263559,76,66.91208253014808,869.0,2.0,0.0,0.0,0.0,0.0,105,FREMANEZUMAB (NCT02945046); FREMANEZUMAB (NCT03107052),2,0.0,0.0,1.1358187807972833,False,0.6722183478273054,0.0,0.0,107
CCN2,ENSG00000118523,0.94680935687483,0.6630568739665385,1.4788691198187571e-05,0.5682370241355418,22.0,33.17965752830766,469,498.7553907782319,178,200.6197158637058,2251.0,3.0,0.0,0.0,0.0,0.0,106,PAMREVLUMAB (NCT03955146),1,0.0,0.0,0.8872507830732206,False,0.473404678437415,0.0,0.0,108
CD274,ENSG00000120217,0.4798834988317069,0.2659619780459246,0.9894387413172834,-0.1472680148553096,8.0,30.079487522154803,353,346.57168278147736,152,124.60064129425972,1598.0,4.0,0.0,0.0,0.0,0.0,107,ATEZOLIZUMAB (NCT02450331); ATEZOLIZUMAB (NCT04338269); AVELUMAB (NCT02952586),3,0.0,0.0,1.219897413216625,False,0.23994174941585344,0.0,0.0,109
CD3E,ENSG00000198851,0.7007847405093005,0.461399576008885,0.0481985216488277,0.8275181569807825,16.0,34.677101653192445,223,253.91839515960316,70,90.79449685766002,1697.0,10.0,0.0,0.0,0.0,0.0,108,VISILIZUMAB (NCT00279422),1,0.0,0.0,0.7709718366493084,False,0.35039237025465025,0.0,0.0,110
CXCR2,ENSG00000180871,1.7235052871274334,0.5475100966270133,0.1892926895545214,1.9912922749412745,2.0,3.6529006721906776,351,450.0508307524567,203,193.333406061708,844.0,3.0,0.0,0.0,0.0,0.0,109,REPARIXIN (NCT05254990),1,0.0,0.0,1.049999605009838,False,0.8617526435637167,0.0,0.0,111
CYP17A1,ENSG00000148795,0.9659688578061127,0.7004631688762024,4.637041197478612e-07,1.6263958757971622,27.0,38.54592389678078,549,645.9186861878211,263,253.28057000485256,2993.0,7.0,0.0,0.0,0.0,0.0,110,GALETERONE (NCT01709734),1,0.0,0.0,1.038374163462129,False,0.4829844289030564,0.0,0.0,112
CYP46A1,ENSG00000036530,0.459119952752432,0.3159587468945261,0.9983321559163024,3.718695194605384,20.0,63.29940283842319,445,670.8346991774223,268,273.54700788817377,4579.0,8.0,0.0,0.0,0.0,0.0,114,SOTICLESTAT (NCT03635073); SOTICLESTAT (NCT05163314),2,0.0,0.0,0.979721920809891,False,0.229559976376216,0.0,0.0,113
DNMT3A,ENSG00000119772,2.512598856977629,2.270391214505107,1.4132864125860657e-142,2.777358744009416,267.0,117.60087789900994,1029,1260.1743395873798,432,474.8045697863611,8120.0,8.0,0.0,0.0,0.0,0.0,115,AZACITIDINE (NCT02147873); AZACITIDINE (NCT04313881); AZACITIDINE (NCT05079230),3,0.0,0.0,0.9098480248292027,False,1.0,0.0,0.0,114
EDNRA,ENSG00000151617,0.4396982051328366,0.2656419865891992,0.9985186331864064,4.387064141015424,11.0,41.40911661307102,294,531.0458266831349,172,183.03228666866735,1468.0,7.0,0.0,0.0,0.0,0.0,117,AMBRISENTAN (NCT00768300); DARUSENTAN (NCT00353574); MACITENTAN (NCT03775421); MACITENTAN (NCT04271475),4,0.0,0.0,0.9397249148253365,False,0.2198491025664183,0.0,0.0,115
F10,ENSG00000126218,1.065488370424015,0.78144671182293,1.8077907907637693e-08,2.1270616340492032,29.0,37.11065586590015,539,667.891856119648,262,268.60533274584066,2525.0,7.0,0.0,0.0,0.0,0.0,119,RIVAROXABAN (NCT04504032),1,0.0,0.0,0.9754087803160232,False,0.5327441852120075,0.0,0.0,116
FCGRT,ENSG00000104870,0.5792536981911653,0.3643357239148945,0.7686570410855381,0.3902458157223966,13.0,35.68137612285498,455,474.9411633286926,233,216.53952834840584,2828.0,7.0,0.0,0.0,0.0,0.0,140,EFGARTIGIMOD ALFA (NCT04598477),1,0.0,0.0,1.0760160132292786,False,0.2896268490955827,0.0,0.0,117
FGG,ENSG00000171557,0.5626308841932925,0.3871932554186522,0.6418320224279535,1.3691534751429626,20.0,51.65379231199424,460,534.1986228472304,184,184.7419010049871,1989.0,1.0,0.0,0.0,0.0,0.0,141,ANCROD (NCT00300196),1,0.0,0.0,0.9959841216261649,False,0.2813154420966463,0.0,0.0,118
FKBP1A,ENSG00000088832,0.7428775978729515,0.3533126277623471,0.56208403607985,3.1049683959515337,5.0,14.15177269962513,53,138.75911032594104,42,49.05563207420111,1680.0,3.0,0.0,0.0,0.0,0.0,142,EVEROLIMUS (NCT01374451),1,0.0,0.0,0.8561708049438885,False,0.37143879893647574,0.0,0.0,119
FLT1,ENSG00000102755,0.3978365462596334,0.3135541166713716,0.9999999663857958,3.3227890048104465,49.0,156.2728645382631,1322,1637.2479908308092,594,583.7508528170706,7695.0,24.0,0.0,0.0,0.0,0.0,162,AXITINIB (NCT01599754); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3,0.0,0.0,1.0175573999309278,False,0.1989182731298167,0.0,0.0,120
FOLR1,ENSG00000110195,0.7979620515034965,0.4820857172253936,0.0584758575808692,1.12625198021962,11.0,22.81751897423893,273,320.25829991193723,108,116.5521347849012,875.0,1.0,0.0,0.0,0.0,0.0,164,FARLETUZUMAB (NCT00849667),1,0.0,0.0,0.9266239541585034,False,0.39898102575174826,0.0,0.0,121
GNRHR,ENSG00000109163,0.7791278315106506,0.498380127562388,0.02141208480915,0.3515609540481362,14.0,28.091007698230214,366,382.1134723807563,141,140.53366217497276,1117.0,2.0,0.0,0.0,0.0,0.0,165,CETRORELIX (NCT00449150); DEGARELIX (NCT00215657),2,0.0,0.0,1.00331833539246,False,0.3895639157553253,0.0,0.0,122
GRIA2,ENSG00000120251,0.225009945321466,0.1439307912216267,0.999999999999954,6.67374864187894,14.0,97.2689712963684,558,1069.8204320663565,412,387.8120591617457,4624.0,5.0,0.0,0.0,0.0,0.0,167,PERAMPANEL (NCT00360412),1,0.0,0.0,1.0623702648404911,False,0.112504972660733,0.0,0.0,123
GRIA3,ENSG00000125675,0.1230132647107299,0.047595581878397,0.9999999999983294,5.701293484573716,3.0,63.03106048088165,347,700.9143836761067,274,257.9468438734661,3684.0,10.0,0.0,0.0,0.0,0.0,161,PERAMPANEL (NCT00360412),1,0.0,0.0,1.0622343576121003,False,0.06150663235536495,0.0,0.0,124
GRIA4,ENSG00000152578,0.4352840735811727,0.3269514674228132,0.9999268626328236,4.462659795002402,34.0,103.99096926526788,750,1096.4878608912295,386,381.8462868838852,5167.0,12.0,0.0,0.0,0.0,0.0,168,PERAMPANEL (NCT00360412),1,0.0,0.0,1.010877971735726,False,0.21764203679058636,0.0,0.0,125
GRIN1,ENSG00000176884,0.4834010519122418,0.3687975621425788,0.9843230046447402,8.457052949384208,38.0,103.0375574589862,577,1288.9045251815292,544,532.693696846075,6385.0,10.0,0.0,0.0,0.0,0.0,171,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.0,0.0,1.0212247736755031,False,0.2417005259561209,0.0,0.0,126
GRIN2A,ENSG00000183454,0.277069250351326,0.194033434161012,0.9999999999997278,3.779858205355719,22.0,113.38252139445228,1502,1886.9931474113105,827,738.4336179380547,4962.0,10.0,0.0,0.0,0.0,0.0,172,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.0,0.0,1.1199381771231534,False,0.138534625175663,0.0,0.0,127
GRIN2B,ENSG00000273079,0.0917793194721624,0.0436502495563143,1.0,8.082912582046218,5.0,114.54688233911168,1108,1943.514776227988,787,745.1074052786887,4215.0,17.0,0.0,0.0,0.0,0.0,174,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.0,0.0,1.0562235651189675,False,0.0458896597360812,0.0,0.0,128
GRIN2D,ENSG00000105464,0.4718255881861064,0.3586517257078286,0.9956352725692164,3.450324883817174,37.0,103.16414880474214,1557,1910.622386638064,845,885.6474636566653,8924.0,14.0,0.0,0.0,0.0,0.0,169,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.0,0.0,0.9541042397515148,False,0.2359127940930532,0.0,0.0,129
GRM5,ENSG00000168959,0.3354389961213168,0.228605263584306,0.9999999750972306,4.582999434629286,19.0,83.11269697862008,1160,1588.2547796661524,675,633.6402657418744,5176.0,9.0,0.0,0.0,0.0,0.0,143,MAVOGLURANT (NCT01348087); MAVOGLURANT (NCT01433354),2,0.0,0.0,1.0652732102018503,False,0.1677194980606584,0.0,0.0,130
GUCY1A1,ENSG00000164116,0.9470927507108644,0.7445957814119617,1.2530690208408505e-12,0.3159672206753726,48.0,64.46450704968888,804,825.2831471597831,308,303.3985026292184,2880.0,5.0,0.0,0.0,0.0,0.0,144,NITRIC OXIDE (NCT02725372),1,0.0,0.0,1.0151665131202214,False,0.4735463753554322,0.0,0.0,131
GUCY1A2,ENSG00000152402,0.5861493138113386,0.4250406236898703,0.1108587524955384,2.051110964017394,27.0,63.52333987656784,768,913.3445699578664,364,343.46664244283363,4223.0,11.0,0.0,0.0,0.0,0.0,148,NITRIC OXIDE (NCT02725372),1,0.0,0.0,1.0597826834394375,False,0.2930746569056693,0.0,0.0,132
HSP90AB1,ENSG00000096384,0.376157799987966,0.2507794383993953,0.9999955177497326,2.9840787206860595,17.0,67.78865168732663,690,899.8930476828932,390,312.8579381896362,3030.0,10.0,0.0,0.0,0.0,0.0,149,GANETESPIB (NCT01798485),1,0.0,0.0,1.2465721734815143,False,0.188078899993983,0.0,0.0,133
HTR3A,ENSG00000166736,1.052751414264853,0.821109281188409,3.5154576312902373e-13,-0.739452869444225,45.0,54.803911039551934,657,614.0364743639069,297,255.95892110610544,2838.0,11.0,0.0,0.0,0.0,0.0,150,RENZAPRIDE (NCT00607971),1,0.0,0.0,1.1603424436879908,False,0.5263757071324265,0.0,0.0,134
HTR4,ENSG00000164270,0.6601741119084973,0.4346613699168872,0.1281573932946612,1.0173523761423058,16.0,36.81026451248567,438,490.84911762374384,189,185.14499439305905,3227.0,13.0,0.0,0.0,0.0,0.0,151,PRUCALOPRIDE (NCT04759833); RENZAPRIDE (NCT00607971),2,0.0,0.0,1.0208215491840782,False,0.33008705595424864,0.0,0.0,135
HTR6,ENSG00000158748,1.3296999347346878,0.8635488144263725,2.3602191877437244e-05,0.6528577949236535,15.0,17.370181916078494,578,615.9925689168012,326,295.50703069514105,1853.0,6.0,0.0,0.0,0.0,0.0,152,INTEPIRDINE (NCT02928445),1,0.0,0.0,1.103188642358621,False,0.6648499673673439,0.0,0.0,136
IL17A,ENSG00000112115,0.6587259123898616,0.1388585002451426,0.8412823060632278,0.1849217308948201,1.0,7.201575692050443,191,197.0870849463001,90,77.73289336079515,762.0,1.0,0.0,0.0,0.0,0.0,153,SECUKINUMAB (NCT01032915); SECUKINUMAB (NCT04181762),2,0.0,0.0,1.157811012929461,False,0.3293629561949308,0.0,0.0,137
IL33,ENSG00000137033,1.7833772967192716,1.3556097021262896,2.3090042515888047e-16,-2.2875773047728027,37.0,27.293991730779936,406,311.35531111073306,132,102.87641971974574,1985.0,6.0,0.0,0.0,0.0,0.0,154,ITEPEKIMAB (NCT03736967); TORUDOKIMAB (NCT03831191),2,0.0,0.0,1.283092863841804,False,0.8916886483596358,0.0,0.0,138
ITGB1,ENSG00000150093,0.3900430417197087,0.2773441916140604,0.9999979167315394,5.418097422911092,24.0,86.53507347793067,556,946.9289539639204,323,316.7571418046295,4559.0,18.0,0.0,0.0,0.0,0.0,155,NATALIZUMAB (NCT01416181),1,0.0,0.0,1.0197086580583588,False,0.19502152085985436,0.0,0.0,139
JAK1,ENSG00000162434,0.17790951011013,0.1171363584102942,1.0,6.620439806909,16.0,136.59294361838278,859,1450.129382925341,492,519.5545964027341,5104.0,16.0,0.0,0.0,0.0,0.0,157,BARICITINIB (NCT04891133); ITACITINIB (NCT03584516); RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),4,0.0,0.0,0.9469649646187037,False,0.088954755055065,0.0,0.0,140
JAK2,ENSG00000096968,0.738709681829725,0.6174502535225439,1.192797862619491e-16,-0.7023645562885266,86.0,139.28247580978606,1421,1360.2612184885934,490,437.67643029804174,6809.0,6.0,0.0,0.0,0.0,0.0,122,BARICITINIB (NCT04891133); RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),3,0.0,0.0,1.1195485205048117,False,0.3693548409148625,0.0,0.0,141
LTB,ENSG00000227507,1.7330861134541498,1.155425627871406,3.017308968958557e-07,0.8593368267299707,17.0,14.713192774958966,288,324.28429698211124,163,157.32620737535078,1635.0,1.0,0.0,0.0,0.0,0.0,121,BAMINERCEPT (NCT00458861),1,0.0,0.0,1.0360638746671915,False,0.8665430567270749,0.0,0.0,142
