symbol,gene_id,LOEUF,pLI,mis_z,exp_lof,obs_lof,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,tolerance,burden,score,rank,trials,n_trials
CALCB,ENSG00000175868,1.3444366956546108,0.005055487885633,-0.4531587084853007,10.736578198029653,8.0,869.0,2.0,0.0,0.0,0.0,0.6722183478273054,0.0,0.0,105,FREMANEZUMAB (NCT02945046); FREMANEZUMAB (NCT03107052),2
CCN2,ENSG00000118523,0.94680935687483,1.4788691198187571e-05,0.5682370241355418,33.17965752830766,22.0,2251.0,3.0,0.0,0.0,0.0,0.473404678437415,0.0,0.0,106,PAMREVLUMAB (NCT03955146),1
CD274,ENSG00000120217,0.4798834988317069,0.9894387413172834,-0.1472680148553096,30.079487522154803,8.0,1598.0,4.0,0.0,0.0,0.0,0.23994174941585344,0.0,0.0,107,ATEZOLIZUMAB (NCT02450331); ATEZOLIZUMAB (NCT04338269); AVELUMAB (NCT02952586),3
CD3E,ENSG00000198851,0.7007847405093005,0.0481985216488277,0.8275181569807825,34.677101653192445,16.0,1697.0,10.0,0.0,0.0,0.0,0.35039237025465025,0.0,0.0,108,VISILIZUMAB (NCT00279422),1
CXCR2,ENSG00000180871,1.7235052871274334,0.1892926895545214,1.9912922749412745,3.6529006721906776,2.0,844.0,3.0,0.0,0.0,0.0,0.8617526435637167,0.0,0.0,109,REPARIXIN (NCT05254990),1
CYP17A1,ENSG00000148795,0.9659688578061127,4.637041197478612e-07,1.6263958757971622,38.54592389678078,27.0,2993.0,7.0,0.0,0.0,0.0,0.4829844289030564,0.0,0.0,110,GALETERONE (NCT01709734),1
RELA,ENSG00000173039,0.3858822293992429,0.999971677791792,2.788515884168542,56.718045676643015,14.0,3132.0,1.0,0.0,0.0,0.0,0.19294111469962144,0.0,0.0,111,EDASALONEXENT (NCT03917719),1
RARB,ENSG00000077092,0.4909355010879019,0.9879542119311612,3.3031141279411353,51.940081795571096,17.0,2491.0,11.0,0.0,0.0,0.0,0.24546775054395095,0.0,0.0,112,TAMIBAROTENE (NCT01337154),1
RARA,ENSG00000131759,0.2455884389709645,0.9999995309492162,3.856048898387971,42.80753179095889,5.0,3547.0,5.0,0.0,0.0,0.0,0.12279421948548225,0.0,0.0,113,TAMIBAROTENE (NCT01337154),1
CYP46A1,ENSG00000036530,0.459119952752432,0.9983321559163024,3.718695194605384,63.29940283842319,20.0,4579.0,8.0,0.0,0.0,0.0,0.229559976376216,0.0,0.0,114,SOTICLESTAT (NCT03635073); SOTICLESTAT (NCT05163314),2
DNMT3A,ENSG00000119772,2.512598856977629,1.4132864125860657e-142,2.777358744009416,117.60087789900994,267.0,8120.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,115,AZACITIDINE (NCT02147873); AZACITIDINE (NCT04313881); AZACITIDINE (NCT05079230),3
PTGS2,ENSG00000073756,0.3431556491028322,0.9999991649555448,3.225229993133244,63.78005424096182,14.0,2282.0,6.0,0.0,0.0,0.0,0.1715778245514161,0.0,0.0,116,INDOMETHACIN (NCT01774604); LORNOXICAM (NCT02626455); MESALAMINE (NCT01038739); NAPROXEN (NCT00418782),4
EDNRA,ENSG00000151617,0.4396982051328366,0.9985186331864064,4.387064141015424,41.40911661307102,11.0,1468.0,7.0,0.0,0.0,0.0,0.2198491025664183,0.0,0.0,117,AMBRISENTAN (NCT00768300); DARUSENTAN (NCT00353574); MACITENTAN (NCT03775421); MACITENTAN (NCT04271475),4
PTGIR,ENSG00000160013,1.379639524504932,7.277686935989259e-06,0.3031730753371236,17.61415445992481,16.0,2409.0,4.0,0.0,0.0,0.0,0.689819762252466,0.0,0.0,118,ESUBERAPROST (NCT03657095); SELEXIPAG (NCT03689244),2
F10,ENSG00000126218,1.065488370424015,1.8077907907637693e-08,2.1270616340492032,37.11065586590015,29.0,2525.0,7.0,0.0,0.0,0.0,0.5327441852120075,0.0,0.0,119,RIVAROXABAN (NCT04504032),1
SERPINC1,ENSG00000117601,0.4484177138205567,0.9980904939661652,2.7614943899952142,43.35816523451468,12.0,1634.0,4.0,0.0,0.0,0.0,0.22420885691027834,0.0,0.0,120,ENOXAPARIN SODIUM (NCT00740545),1
LTB,ENSG00000227507,1.7330861134541498,3.017308968958557e-07,0.8593368267299707,14.713192774958966,17.0,1635.0,1.0,0.0,0.0,0.0,0.8665430567270749,0.0,0.0,121,BAMINERCEPT (NCT00458861),1
JAK2,ENSG00000096968,0.738709681829725,1.192797862619491e-16,-0.7023645562885266,139.28247580978606,86.0,6809.0,6.0,0.0,0.0,0.0,0.3693548409148625,0.0,0.0,122,BARICITINIB (NCT04891133); RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),3
SLC6A3,ENSG00000142319,0.3957801307142773,0.9999861224617904,3.321630888253529,70.44123106718102,19.0,3653.0,16.0,0.0,0.0,0.0,0.19789006535713866,0.0,0.0,123,BICIFADINE (NCT00597649); LISDEXAMFETAMINE DIMESYLATE (NCT01436175),2
UGCG,ENSG00000148154,0.3425435967528576,0.999992395848905,3.3291438268639637,49.51842450571334,10.0,2292.0,10.0,0.0,0.0,0.0,0.1712717983764288,0.0,0.0,124,VENGLUSTAT (NCT02906020); VENGLUSTAT (NCT03523728),2
TSLP,ENSG00000145777,1.5664521476402535,7.048325843013238e-05,-1.003409812692918,12.411850153995342,12.0,1175.0,4.0,0.0,0.0,0.0,0.7832260738201268,0.0,0.0,125,TEZEPELUMAB (NCT03809663),1
ADORA1,ENSG00000163485,0.5949641088648107,0.8711033748616624,2.7918617525723395,19.904386627649757,6.0,1139.0,2.0,0.0,0.0,0.0,0.29748205443240533,0.0,0.0,126,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2
ADORA2A,ENSG00000128271,0.9884881177301968,0.0066122314067058,1.9362692206032976,18.41955803445814,11.0,1212.0,1.0,0.0,0.0,0.0,0.4942440588650984,0.0,0.0,127,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2
ADRA1B,ENSG00000170214,1.4220573096188576,2.308395789691096e-06,0.6522801500204366,17.931225352436506,17.0,2908.0,3.0,0.0,0.0,0.0,0.7110286548094288,0.0,0.0,128,TAMSULOSIN (NCT02518971),1
TNNI2,ENSG00000130598,0.826234470399086,0.0096914493644511,1.1779344585298557,26.489436954015652,14.0,1568.0,3.0,0.0,0.0,0.0,0.413117235199543,0.0,0.0,129,RELDESEMTIV (NCT04944784),1
TNNC2,ENSG00000101470,1.09163828355608,0.0003637373487136,1.732596872989494,20.049210661222418,14.0,1504.0,9.0,0.0,0.0,0.0,0.54581914177804,0.0,0.0,130,RELDESEMTIV (NCT04944784),1
ALOX5,ENSG00000012779,0.8965421924674865,4.571893566164595e-16,1.210485551883987,87.8987762355675,64.0,4284.0,14.0,0.0,0.0,0.0,0.4482710962337432,0.0,0.0,131,MESALAMINE (NCT01038739),1
TNFSF13B,ENSG00000102524,0.4954467255757074,0.9831804738637392,2.0250733745091916,29.13461522714335,8.0,1393.0,2.0,0.0,0.0,0.0,0.2477233627878537,0.0,0.0,132,TABALUMAB (NCT01202773); TABALUMAB (NCT01215942),2
TNF,ENSG00000232810,0.6031986625713975,0.83611460936656,1.9967782472209783,21.797319222132465,7.0,936.0,2.0,0.0,0.0,0.0,0.30159933128569877,0.0,0.0,133,GOLIMUMAB (NCT01230827),1
TLR9,ENSG00000239732,1.1344607031535046,7.218585780794932e-06,3.612098811605699,24.574883521259487,19.0,2705.0,3.0,0.0,0.0,0.0,0.5672303515767523,0.0,0.0,134,COBITOLIMOD (NCT04985968); HYDROXYCHLOROQUINE SULFATE (NCT04329923),2
APP,ENSG00000142192,0.4127209613298042,0.9999931827833108,2.2177737548963834,101.37025809534332,31.0,4295.0,8.0,0.0,0.0,0.0,0.2063604806649021,0.0,0.0,135,ADUCANUMAB (NCT02477800); ADUCANUMAB (NCT02484547); BAPINEUZUMAB (NCT00996918); BAPINEUZUMAB (NCT00998764); SOLANEZUMAB (NCT01127633); SOLANEZUMAB (NCT01900665),6
SNAP25,ENSG00000132639,0.2698318889349513,0.9999547862274756,4.131200040162375,28.735137861344136,3.0,1483.0,5.0,0.0,0.0,0.0,0.13491594446747565,0.0,0.0,136,BOTULINUM TOXIN TYPE A (NCT05028569),1
SMAD7,ENSG00000101665,0.3732181758375816,0.9998537827006732,1.7904988592721842,38.67617026636462,8.0,2154.0,6.0,0.0,0.0,0.0,0.1866090879187908,0.0,0.0,137,MONGERSEN SODIUM (NCT02641392),1
BACE1,ENSG00000186318,0.5597184991583963,0.6320809032286518,2.4915515573989735,54.027950365475405,21.0,2649.0,4.0,0.0,0.0,0.0,0.27985924957919817,0.0,0.0,138,ELENBECESTAT (NCT02956486); LANABECESTAT (NCT02245737); LANABECESTAT (NCT02783573),3
PPARD,ENSG00000112033,0.2995910565663266,0.9999917840449516,3.487478709584986,39.52853529123456,6.0,1915.0,4.0,0.0,0.0,0.0,0.1497955282831633,0.0,0.0,139,ELAFIBRANOR (NCT02704403),1
FCGRT,ENSG00000104870,0.5792536981911653,0.7686570410855381,0.3902458157223966,35.68137612285498,13.0,2828.0,7.0,0.0,0.0,0.0,0.2896268490955827,0.0,0.0,140,EFGARTIGIMOD ALFA (NCT04598477),1
FGG,ENSG00000171557,0.5626308841932925,0.6418320224279535,1.3691534751429626,51.65379231199424,20.0,1989.0,1.0,0.0,0.0,0.0,0.2813154420966463,0.0,0.0,141,ANCROD (NCT00300196),1
FKBP1A,ENSG00000088832,0.7428775978729515,0.56208403607985,3.1049683959515337,14.15177269962513,5.0,1680.0,3.0,0.0,0.0,0.0,0.37143879893647574,0.0,0.0,142,EVEROLIMUS (NCT01374451),1
GRM5,ENSG00000168959,0.3354389961213168,0.9999999750972306,4.582999434629286,83.11269697862008,19.0,5176.0,9.0,0.0,0.0,0.0,0.1677194980606584,0.0,0.0,143,MAVOGLURANT (NCT01348087); MAVOGLURANT (NCT01433354),2
GUCY1A1,ENSG00000164116,0.9470927507108644,1.2530690208408505e-12,0.3159672206753726,64.46450704968888,48.0,2880.0,5.0,0.0,0.0,0.0,0.4735463753554322,0.0,0.0,144,NITRIC OXIDE (NCT02725372),1
MYL4,ENSG00000198336,1.1236252617218214,6.719402848046035e-05,0.1050210927428429,21.627480719335583,16.0,1199.0,1.0,0.0,0.0,0.0,0.5618126308609107,0.0,0.0,145,MAVACAMTEN (NCT05582395),1
MYL3,ENSG00000160808,0.8532368077663065,0.0286205241154471,1.267387330049352,21.339344581921175,11.0,1082.0,3.0,0.0,0.0,0.0,0.42661840388315325,0.0,0.0,146,MAVACAMTEN (NCT05582395),1
MYL2,ENSG00000111245,1.2134374035470443,3.0179974526728193e-06,1.01953323114962,22.975424655568276,19.0,1559.0,13.0,0.0,0.0,0.0,0.6067187017735222,0.0,0.0,147,MAVACAMTEN (NCT05582395),1
GUCY1A2,ENSG00000152402,0.5861493138113386,0.1108587524955384,2.051110964017394,63.52333987656784,27.0,4223.0,11.0,0.0,0.0,0.0,0.2930746569056693,0.0,0.0,148,NITRIC OXIDE (NCT02725372),1
HSP90AB1,ENSG00000096384,0.376157799987966,0.9999955177497326,2.9840787206860595,67.78865168732663,17.0,3030.0,10.0,0.0,0.0,0.0,0.188078899993983,0.0,0.0,149,GANETESPIB (NCT01798485),1
HTR3A,ENSG00000166736,1.052751414264853,3.5154576312902373e-13,-0.739452869444225,54.803911039551934,45.0,2838.0,11.0,0.0,0.0,0.0,0.5263757071324265,0.0,0.0,150,RENZAPRIDE (NCT00607971),1
HTR4,ENSG00000164270,0.6601741119084973,0.1281573932946612,1.0173523761423058,36.81026451248567,16.0,3227.0,13.0,0.0,0.0,0.0,0.33008705595424864,0.0,0.0,151,PRUCALOPRIDE (NCT04759833); RENZAPRIDE (NCT00607971),2
HTR6,ENSG00000158748,1.3296999347346878,2.3602191877437244e-05,0.6528577949236535,17.370181916078494,15.0,1853.0,6.0,0.0,0.0,0.0,0.6648499673673439,0.0,0.0,152,INTEPIRDINE (NCT02928445),1
IL17A,ENSG00000112115,0.6587259123898616,0.8412823060632278,0.1849217308948201,7.201575692050443,1.0,762.0,1.0,0.0,0.0,0.0,0.3293629561949308,0.0,0.0,153,SECUKINUMAB (NCT01032915); SECUKINUMAB (NCT04181762),2
IL33,ENSG00000137033,1.7833772967192716,2.3090042515888047e-16,-2.2875773047728027,27.293991730779936,37.0,1985.0,6.0,0.0,0.0,0.0,0.8916886483596358,0.0,0.0,154,ITEPEKIMAB (NCT03736967); TORUDOKIMAB (NCT03831191),2
ITGB1,ENSG00000150093,0.3900430417197087,0.9999979167315394,5.418097422911092,86.53507347793067,24.0,4559.0,18.0,0.0,0.0,0.0,0.19502152085985436,0.0,0.0,155,NATALIZUMAB (NCT01416181),1
MS4A1,ENSG00000156738,0.9160011480558762,0.0008456297112152,0.067983009932596,26.52964325997189,16.0,1320.0,2.0,0.0,0.0,0.0,0.4580005740279381,0.0,0.0,156,OFATUMUMAB (NCT01077518); OFATUMUMAB (NCT01200589); RITUXIMAB (NCT01200589); RITUXIMAB (NCT01232556); RITUXIMAB (NCT02626455),5
JAK1,ENSG00000162434,0.17790951011013,1.0,6.620439806909,136.59294361838278,16.0,5104.0,16.0,0.0,0.0,0.0,0.088954755055065,0.0,0.0,157,BARICITINIB (NCT04891133); ITACITINIB (NCT03584516); RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),4
NCBP2,ENSG00000114503,0.6715056840500596,0.5620656137323271,2.3694677251333873,21.49594569049134,8.0,1205.0,2.0,0.0,0.0,0.0,0.3357528420250298,0.0,0.0,158,OBEFAZIMOD (NCT04393038),1
NFKB1,ENSG00000109320,0.1494858445402531,1.0,4.593796706788653,105.0615626544251,9.0,4821.0,15.0,0.0,0.0,0.0,0.07474292227012655,0.0,0.0,159,EDASALONEXENT (NCT03917719),1
NFKB2,ENSG00000077150,0.2766331982519064,0.9999999999993928,4.69916177442768,109.31603105579111,21.0,5090.0,15.0,0.0,0.0,0.0,0.1383165991259532,0.0,0.0,160,EDASALONEXENT (NCT03917719),1
GRIA3,ENSG00000125675,0.1230132647107299,0.9999999999983294,5.701293484573716,63.03106048088165,3.0,3684.0,10.0,0.0,0.0,0.0,0.06150663235536495,0.0,0.0,161,PERAMPANEL (NCT00360412),1
FLT1,ENSG00000102755,0.3978365462596334,0.9999999663857958,3.3227890048104465,156.2728645382631,49.0,7695.0,24.0,0.0,0.0,0.0,0.1989182731298167,0.0,0.0,162,AXITINIB (NCT01599754); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3
PGF,ENSG00000119630,0.7200181481956173,0.1767409938799683,0.1365887887933546,25.2875768430728,11.0,2217.0,2.0,0.0,0.0,0.0,0.36000907409780863,0.0,0.0,163,AFLIBERCEPT (NCT02980874); AFLIBERCEPT (NCT04049266); AFLIBERCEPT (NCT04603937); AFLIBERCEPT (NCT04611152),4
FOLR1,ENSG00000110195,0.7979620515034965,0.0584758575808692,1.12625198021962,22.81751897423893,11.0,875.0,1.0,0.0,0.0,0.0,0.39898102575174826,0.0,0.0,164,FARLETUZUMAB (NCT00849667),1
GNRHR,ENSG00000109163,0.7791278315106506,0.02141208480915,0.3515609540481362,28.091007698230214,14.0,1117.0,2.0,0.0,0.0,0.0,0.3895639157553253,0.0,0.0,165,CETRORELIX (NCT00449150); DEGARELIX (NCT00215657),2
PDE9A,ENSG00000160191,0.8512221223653207,4.829147829957822e-14,1.7417762740339204,87.39156231688793,60.0,5816.0,20.0,0.0,0.0,0.0,0.42561106118266034,0.0,0.0,166,TOVINONTRINE (NCT04411082); TOVINONTRINE (NCT04474314),2
GRIA2,ENSG00000120251,0.225009945321466,0.999999999999954,6.67374864187894,97.2689712963684,14.0,4624.0,5.0,0.0,0.0,0.0,0.112504972660733,0.0,0.0,167,PERAMPANEL (NCT00360412),1
GRIA4,ENSG00000152578,0.4352840735811727,0.9999268626328236,4.462659795002402,103.99096926526788,34.0,5167.0,12.0,0.0,0.0,0.0,0.21764203679058636,0.0,0.0,168,PERAMPANEL (NCT00360412),1
GRIN2D,ENSG00000105464,0.4718255881861064,0.9956352725692164,3.450324883817174,103.16414880474214,37.0,8924.0,14.0,0.0,0.0,0.0,0.2359127940930532,0.0,0.0,169,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
P2RY12,ENSG00000169313,1.7352764860835943,0.0917572858775325,1.0941853576155307,4.468254246579588,3.0,747.0,2.0,0.0,0.0,0.0,0.8676382430417972,0.0,0.0,170,PRASUGREL (NCT01794000),1
GRIN1,ENSG00000176884,0.4834010519122418,0.9843230046447402,8.457052949384208,103.0375574589862,38.0,6385.0,10.0,0.0,0.0,0.0,0.2417005259561209,0.0,0.0,171,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
GRIN2A,ENSG00000183454,0.277069250351326,0.9999999999997278,3.779858205355719,113.38252139445228,22.0,4962.0,10.0,0.0,0.0,0.0,0.138534625175663,0.0,0.0,172,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
OPRK1,ENSG00000082556,0.9416741419950722,0.0010538205661951,0.5362941181271043,24.527730698014743,15.0,1740.0,10.0,0.0,0.0,0.0,0.4708370709975361,0.0,0.0,173,ATICAPRANT (NCT06514742); BUPRENORPHINE (NCT00270257); DIFELIKEFALIN (NCT05387707); DIFELIKEFALIN (NCT05978063); NAVACAPRANT (NCT06029439),5
GRIN2B,ENSG00000273079,0.0917793194721624,1.0,8.082912582046218,114.54688233911168,5.0,4215.0,17.0,0.0,0.0,0.0,0.0458896597360812,0.0,0.0,174,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
NR1H4,ENSG00000012504,0.5568290127170148,0.5814416762898184,1.5969106297174462,58.51955215621115,23.0,2703.0,7.0,0.0,0.0,0.0,0.2784145063585074,0.0,0.0,175,URSODIOL (NCT00059202),1
VEGFA,ENSG00000112715,0.5846185283347473,0.4046458209077189,0.879071826863735,49.71108069943582,20.0,2796.0,8.0,0.0,0.0,0.0,0.29230926416737363,0.0,0.0,176,AFLIBERCEPT (NCT02980874); AFLIBERCEPT (NCT04049266); AFLIBERCEPT (NCT04603937); AFLIBERCEPT (NCT04611152); BEVACIZUMAB (NCT00946712); BEVACIZUMAB (NCT01012297),6
ADRB1,ENSG00000043591,,,1.1863836833011454,,,,,,,,,,,177,METOPROLOL SUCCINATE (NCT02587351),1
CCR2,ENSG00000121807,,,0.6514814236886147,,,,,,,,,,,178,CENICRIVIROC (NCT03028740),1
CCR5,ENSG00000160791,,,-0.8766462115894839,,,,,,,,,,,179,CENICRIVIROC (NCT03028740),1
CXCR1,ENSG00000163464,,,0.4373930533948875,,,,,,,,,,,180,REPARIXIN (NCT05254990),1
GRIN3B,ENSG00000116032,1.4110217162090772,2.1402671275409176e-30,-2.39899338126845,65.96133448658952,77.0,,,,,,0.7055108581045386,,,181,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
S1PR5,ENSG00000180739,,,-0.2012535151936779,,,,,,,,,,,182,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2
